zone,origin,target_m,method,dist_m,err_pct,exposure_m,hazards_touched,turns_per_km,fallback,osrm_calls,latency_ms
costa,Playa Grande,5000,B1,4751,4.98,279,1,0.42,0,5,677
costa,Playa Grande,5000,M,5000,0,0,0,0,1,30,3029
costa,Playa Grande,8000,B0,11330,41.63,419,2,0.26,0,1,134
costa,Playa Grande,8000,B1,8000,0,165,1,0,1,7,939
costa,Playa Grande,8000,M,8000,0,165,1,0,1,30,2922
costa,Playa Grande,12000,B0,16971,41.43,719,3,0.12,0,1,134
costa,Playa Grande,12000,B1,12000,0,0,0,0,1,7,933
costa,Playa Grande,12000,M,11931,0.57,1731,2,0.42,0,30,3909
costa,Cabo Corrientes,3000,B0,3829,27.63,209,1,2.35,0,1,133
costa,Cabo Corrientes,3000,B1,3000,0,0,0,0,1,7,926
costa,Cabo Corrientes,3000,M,3047,1.57,0,0,1.31,0,30,3182
costa,Cabo Corrientes,5000,B0,7757,55.14,209,1,0.77,0,1,133
costa,Cabo Corrientes,5000,B1,5000,0,225,1,0,1,7,927
costa,Cabo Corrientes,5000,M,5080,1.6,140,1,1.57,0,30,3091
costa,Cabo Corrientes,8000,B0,11305,41.31,509,2,0.62,0,1,132
costa,Cabo Corrientes,8000,B1,7757,3.04,209,1,0.77,0,2,265
costa,Cabo Corrientes,8000,M,7757,3.04,209,1,0.77,0,30,2838
costa,Cabo Corrientes,12000,B0,15512,29.27,509,2,0.45,0,1,130
costa,Cabo Corrientes,12000,B1,12212,1.77,509,2,0.57,0,2,272
costa,Cabo Corrientes,12000,M,12009,0.08,489,2,0.33,0,30,2854
costa,Varese,3000,B0,4084,36.13,70,1,1.47,0,1,133
costa,Varese,3000,B1,3000,0,140,1,0,1,7,983
costa,Varese,3000,M,3108,3.6,0,0,1.29,0,30,2891
costa,Varese,5000,B0,8132,62.64,70,1,0.61,0,1,132
costa,Varese,5000,B1,5000,0,0,0,0,1,7,1166
costa,Varese,5000,M,5171,3.42,70,1,1.16,0,30,2814
costa,Varese,8000,B0,12587,57.34,220,2,0.48,0,1,130
costa,Varese,8000,B1,8132,1.65,70,1,0.61,0,3,401
costa,Varese,8000,M,8132,1.65,70,1,0.61,0,30,4967
costa,Varese,12000,B0,17402,45.02,220,2,0.34,0,1,181
costa,Varese,12000,B1,12587,4.89,220,2,0.48,0,4,542
costa,Varese,12000,M,11458,4.52,963,3,0.79,0,30,3187
costa,Torreón del Monje,3000,B0,6231,107.7,140,1,0.48,0,1,131
costa,Torreón del Monje,3000,B1,3000,0,0,0,0,1,7,923
costa,Torreón del Monje,3000,M,3061,2.03,140,1,1.31,0,30,3176
costa,Torreón del Monje,5000,B0,8840,76.8,290,2,0.34,0,1,133
costa,Torreón del Monje,5000,B1,5000,0,1066,2,0,1,7,934
costa,Torreón del Monje,5000,M,4954,0.92,209,1,1.21,0,30,2829
costa,Torreón del Monje,8000,B0,11871,48.39,290,2,0.17,0,1,135
costa,Torreón del Monje,8000,B1,8000,0,821,3,0,1,7,954
costa,Torreón del Monje,8000,M,8036,0.45,349,1,1.87,0,30,2848
costa,Torreón del Monje,12000,B0,17256,43.8,290,2,0.23,0,1,134
costa,Torreón del Monje,12000,B1,11871,1.08,290,2,0.17,0,4,540
costa,Torreón del Monje,12000,M,11872,1.07,290,2,0.17,0,30,2862
costa,Perla Norte,3000,B0,4091,36.37,150,1,0.73,0,1,129
costa,Perla Norte,3000,B1,3000,0,924,2,0,1,7,916
costa,Perla Norte,3000,M,2892,3.6,0,0,0.35,0,30,3098
costa,Perla Norte,5000,B0,6236,24.72,150,1,0.48,0,1,134
costa,Perla Norte,5000,B1,5000,0,0,0,0,1,7,1018
costa,Perla Norte,5000,M,5009,0.18,0,0,0.8,0,30,2827
costa,Perla Norte,8000,B0,9481,18.51,150,1,0.53,0,1,131
costa,Perla Norte,8000,B1,7996,0.05,150,1,0.5,0,4,531
costa,Perla Norte,8000,M,7963,0.46,0,0,0.75,0,30,2865
costa,Perla Norte,12000,B0,15579,29.83,150,1,0.39,0,1,131
costa,Perla Norte,12000,B1,11517,4.03,150,1,0.69,0,5,1091
costa,Perla Norte,12000,M,12018,0.15,0,0,0.25,0,30,2841
puerto,Centro Comercial Puerto,3000,B0,4514,50.47,0,0,1.11,0,1,132
puerto,Centro Comercial Puerto,3000,B1,3000,0,450,1,0,1,7,933
puerto,Centro Comercial Puerto,3000,M,2900,3.33,1575,1,1.38,0,30,2883
puerto,Centro Comercial Puerto,5000,B0,7571,51.42,209,1,1.19,0,1,133
puerto,Centro Comercial Puerto,5000,B1,4891,2.18,0,0,1.43,0,5,1224
puerto,Centro Comercial Puerto,5000,M,4891,2.18,0,0,1.43,0,30,2893
puerto,Centro Comercial Puerto,8000,B0,12731,59.14,628,2,0.31,0,1,135
puerto,Centro Comercial Puerto,8000,B1,7979,0.26,209,1,1,0,5,665
puerto,Centro Comercial Puerto,8000,M,8110,1.38,0,0,1.23,0,30,3071
puerto,Centro Comercial Puerto,12000,B0,16316,35.97,628,2,0.18,0,1,140
puerto,Centro Comercial Puerto,12000,B1,12074,0.62,419,1,0.41,0,4,549
puerto,Centro Comercial Puerto,12000,M,11957,0.36,0,0,0.67,0,30,3178
puerto,Escollera Sur,3000,B0,7129,137.63,1313,1,1.12,0,1,161
puerto,Escollera Sur,3000,B1,3000,0,0,0,0,1,7,956
puerto,Escollera Sur,3000,M,3000,0,0,0,0,1,30,2823
puerto,Escollera Sur,5000,B0,8560,71.2,1469,2,0.47,0,1,134
puerto,Escollera Sur,5000,B1,5000,0,0,0,0,1,7,945
puerto,Escollera Sur,5000,M,5000,0,0,0,0,1,30,3084
puerto,Escollera Sur,8000,B0,12801,60.01,1399,2,0.31,0,1,133
puerto,Escollera Sur,8000,B1,8024,0.3,1313,1,1.25,0,3,398
puerto,Escollera Sur,8000,M,8083,1.04,0,0,1.11,0,30,2892
puerto,Escollera Sur,12000,B0,18445,53.71,1871,3,0.27,0,1,138
puerto,Escollera Sur,12000,B1,12000,0,0,0,0,1,7,951
puerto,Escollera Sur,12000,M,11464,4.47,125,1,0.7,0,30,3570
puerto,12 de Octubre y Juramento,3000,B0,4748,58.27,0,0,2.11,0,1,133
puerto,12 de Octubre y Juramento,3000,B1,3000,0,0,0,0,1,7,920
puerto,12 de Octubre y Juramento,3000,M,2940,2,0,0,2.72,0,30,6145
puerto,12 de Octubre y Juramento,5000,B0,7385,47.7,125,1,1.35,0,1,133
puerto,12 de Octubre y Juramento,5000,B1,4899,2.02,0,0,1.43,0,5,663
puerto,12 de Octubre y Juramento,5000,M,4899,2.02,0,0,1.43,0,30,2888
puerto,12 de Octubre y Juramento,8000,B0,11561,44.51,494,2,0.86,0,1,131
puerto,12 de Octubre y Juramento,8000,B1,7803,2.46,0,0,1.28,0,5,662
puerto,12 de Octubre y Juramento,8000,M,8020,0.25,0,0,1.25,0,30,2842
puerto,12 de Octubre y Juramento,12000,B0,16768,39.73,349,2,0.6,0,1,136
puerto,12 de Octubre y Juramento,12000,B1,11557,3.69,316,1,1.04,0,5,691
puerto,12 de Octubre y Juramento,12000,M,11959,0.34,0,0,0.84,0,30,2879
residencial,Barrio Los Troncos,3000,B0,4579,52.63,0,0,1.31,0,1,132
residencial,Barrio Los Troncos,3000,B1,2934,2.2,0,0,2.04,0,4,536
residencial,Barrio Los Troncos,3000,M,2934,2.2,0,0,1.36,0,30,2984
residencial,Barrio Los Troncos,5000,B0,7461,49.22,0,0,0.94,0,1,133
residencial,Barrio Los Troncos,5000,B1,5013,0.26,0,0,1.2,0,5,750
residencial,Barrio Los Troncos,5000,M,5010,0.2,0,0,1.6,0,30,2972
residencial,Barrio Los Troncos,8000,B0,10376,29.7,0,0,0.77,0,1,133
residencial,Barrio Los Troncos,8000,B1,7772,2.85,474,1,0.9,0,5,669
residencial,Barrio Los Troncos,8000,M,8201,2.51,250,1,0.98,0,30,3897
residencial,Barrio Los Troncos,12000,B0,15129,26.08,150,1,0.59,0,1,136
residencial,Barrio Los Troncos,12000,B1,11710,2.42,0,0,0.6,0,2,271
residencial,Barrio Los Troncos,12000,M,12512,4.27,350,2,0.64,0,30,4075
residencial,Divino Rostro,3000,B0,4579,52.63,0,0,1.75,0,1,143
residencial,Divino Rostro,3000,B1,2916,2.8,0,0,2.06,0,4,527
residencial,Divino Rostro,3000,M,3026,0.87,0,0,2.64,0,30,2916
residencial,Divino Rostro,5000,B0,7357,47.14,948,2,1.36,0,1,146
residencial,Divino Rostro,5000,B1,4794,4.12,140,1,1.67,0,4,539
residencial,Divino Rostro,5000,M,5083,1.66,0,0,2.56,0,30,3226
residencial,Divino Rostro,8000,B0,11109,38.86,474,1,0.99,0,1,134
residencial,Divino Rostro,8000,B1,8015,0.19,140,1,1.25,0,4,580
residencial,Divino Rostro,8000,M,7968,0.4,0,0,1.63,0,30,6673
residencial,Divino Rostro,12000,B0,15473,28.94,774,2,0.71,0,1,134
residencial,Divino Rostro,12000,B1,12032,0.27,774,2,0.75,0,2,270
residencial,Divino Rostro,12000,M,11915,0.71,0,0,1.09,0,30,2867
residencial,Barrio Chauvin,3000,B0,4310,43.67,474,1,1.39,0,1,132
residencial,Barrio Chauvin,3000,B1,3119,3.97,0,0,1.92,0,5,697
residencial,Barrio Chauvin,3000,M,2945,1.83,0,0,1.36,0,30,3134
residencial,Barrio Chauvin,5000,B0,7351,47.02,924,2,1.5,0,1,220
residencial,Barrio Chauvin,5000,B1,4855,2.9,316,1,1.65,0,5,686
residencial,Barrio Chauvin,5000,M,4851,2.98,0,0,1.24,0,30,2880
residencial,Barrio Chauvin,8000,B0,12522,56.53,0,0,0.72,0,1,134
residencial,Barrio Chauvin,8000,B1,7771,2.86,1134,3,1.16,0,7,938
residencial,Barrio Chauvin,8000,M,7937,0.79,0,0,1.51,0,30,2847
residencial,Barrio Chauvin,12000,B0,16289,35.74,0,0,0.61,0,1,135
residencial,Barrio Chauvin,12000,B1,11889,0.93,450,1,0.76,0,5,779
residencial,Barrio Chauvin,12000,M,11810,1.58,0,0,0.42,0,30,2864
residencial,Barrio La Perla,3000,B0,4103,36.77,150,1,1.46,0,1,148
residencial,Barrio La Perla,3000,B1,3000,0,140,1,0,1,7,927
residencial,Barrio La Perla,3000,M,2995,0.17,0,0,2.67,0,30,3092
residencial,Barrio La Perla,5000,B0,6828,36.56,150,1,0.88,0,1,131
residencial,Barrio La Perla,5000,B1,5047,0.94,308,2,1.19,0,6,1027
residencial,Barrio La Perla,5000,M,4865,2.7,0,0,2.06,0,30,2894
residencial,Barrio La Perla,8000,B0,9790,22.38,150,1,0.61,0,1,132
residencial,Barrio La Perla,8000,B1,8224,2.8,150,1,0.61,0,5,670
residencial,Barrio La Perla,8000,M,8060,0.75,0,0,0.99,0,30,3221
residencial,Barrio La Perla,12000,B0,13886,15.72,150,1,0.5,0,1,133
residencial,Barrio La Perla,12000,B1,11776,1.87,150,1,0.93,0,5,664
residencial,Barrio La Perla,12000,M,12079,0.66,0,0,0.66,0,30,2898
residencial,Plaza Pueyrredón,3000,B0,4854,61.8,0,0,2.47,0,1,134
residencial,Plaza Pueyrredón,3000,B1,2950,1.67,0,0,2.71,0,4,555
residencial,Plaza Pueyrredón,3000,M,2950,1.67,0,0,2.71,0,30,2847
residencial,Plaza Pueyrredón,5000,B0,7585,51.7,0,0,1.58,0,1,136
residencial,Plaza Pueyrredón,5000,B1,4854,2.92,0,0,2.47,0,4,533
residencial,Plaza Pueyrredón,5000,M,5056,1.12,0,0,2.37,0,30,2867
residencial,Plaza Pueyrredón,8000,B0,12294,53.68,0,0,0.81,0,1,143
residencial,Plaza Pueyrredón,8000,B1,8042,0.53,0,0,1.12,0,6,807
residencial,Plaza Pueyrredón,8000,M,8027,0.34,0,0,1,0,30,2894
residencial,Plaza Pueyrredón,12000,B0,16618,38.48,0,0,0.78,0,1,133
residencial,Plaza Pueyrredón,12000,B1,12294,2.45,0,0,0.81,0,5,670
residencial,Plaza Pueyrredón,12000,M,11781,1.83,0,0,0.93,0,30,2949
norte,Constitución y la costa,3000,B0,5462,82.07,0,0,1.46,0,1,128
norte,Constitución y la costa,3000,B1,3000,0,0,0,0,1,7,918
norte,Constitución y la costa,3000,M,3000,0,0,0,0,1,30,2817
